"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","44836886","211.4","Benign neoplasm of rectum and anal canal","4-dig billing code","Non-Standard","50","50","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836885","209.72","Secondary neuroendocrine tumor of liver","5-dig billing code","Non-Standard","34","34","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836884","209.61","Benign carcinoid tumor of the bronchus and lung","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836883","209.6","Benign carcinoid tumors of other and unspecified sites","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836882","209.52","Benign carcinoid tumor of the cecum","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836881","209.50","Benign carcinoid tumor of the large intestine, unspecified portion","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836880","209.2","Malignant carcinoid tumors of other and unspecified sites","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836879","209.10","Malignant carcinoid tumor of the large intestine, unspecified portion","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836878","209.1","Malignant carcinoid tumors of the appendix, large intestine, and rectum","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836877","209.03","Malignant carcinoid tumor of the ileum","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836876","209.02","Malignant carcinoid tumor of the jejunum","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836875","208.01","Acute leukemia of unspecified cell type, in remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836874","207.12","Chronic erythremia, in relapse","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836873","206.12","Chronic monocytic leukemia, in relapse","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836872","206.02","Acute monocytic leukemia, in relapse","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836871","205.30","Myeloid sarcoma, without mention of having achieved remission","5-dig billing code","Non-Standard","26","26","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836870","202.82","Other malignant lymphomas, intrathoracic lymph nodes","5-dig billing code","Non-Standard","9","9","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836869","202.58","Letterer-siwe disease, lymph nodes of multiple sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836868","202.18","Mycosis fungoides, lymph nodes of multiple sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836867","201.92","Hodgkin's disease, unspecified type, intrathoracic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836866","201.90","Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites","5-dig billing code","Non-Standard","321","321","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836865","201.78","Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836864","201.54","Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836863","201.47","Hodgkin's disease, lymphocytic-histiocytic predominance, spleen","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836862","200.70","Large cell lymphoma, unspecified site, extranodal and solid organ sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836861","200.68","Anaplastic large cell lymphoma, lymph nodes of multiple sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836860","200.67","Anaplastic large cell lymphoma, spleen","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836859","200.66","Anaplastic large cell lymphoma, intrapelvic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836858","200.64","Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836857","200.38","Marginal zone lymphoma, lymph nodes of multiple sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836856","200.33","Marginal zone lymphoma, intraabdominal lymph nodes","5-dig billing code","Non-Standard","6","6","Condition","ICD9CM",""
"","44836855","200.23","Burkitt's tumor or lymphoma, intra-abdominal lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836854","200.03","Reticulosarcoma, intra-abdominal lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836853","200.01","Reticulosarcoma, lymph nodes of head, face, and neck","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836852","198.82","Secondary malignant neoplasm of genital organs","5-dig billing code","Non-Standard","16","16","Condition","ICD9CM",""
"","44836851","198.3","Secondary malignant neoplasm of brain and spinal cord","4-dig billing code","Non-Standard","1,033","1,033","Condition","ICD9CM",""
"","44836850","198","Secondary malignant neoplasm of other specified sites","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836849","197.8","Secondary malignant neoplasm of other digestive organs and spleen","4-dig billing code","Non-Standard","12","12","Condition","ICD9CM",""
"","44836848","196.9","Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified","4-dig billing code","Non-Standard","79","79","Condition","ICD9CM",""
"","44836847","196","Secondary and unspecified malignant neoplasm of lymph nodes","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836846","194.0","Malignant neoplasm of adrenal gland","4-dig billing code","Non-Standard","38","38","Condition","ICD9CM",""
"","44836845","192.2","Malignant neoplasm of spinal cord","4-dig billing code","Non-Standard","22","22","Condition","ICD9CM",""
"","44836844","192.0","Malignant neoplasm of cranial nerves","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836843","191.5","Malignant neoplasm of ventricles","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836842","190.4","Malignant neoplasm of cornea","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836841","189.9","Malignant neoplasm of urinary organ, site unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836840","188.9","Malignant neoplasm of bladder, part unspecified","4-dig billing code","Non-Standard","734","734","Condition","ICD9CM",""
"","44836839","188.3","Malignant neoplasm of anterior wall of urinary bladder","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836838","183.2","Malignant neoplasm of fallopian tube","4-dig billing code","Non-Standard","7","7","Condition","ICD9CM",""
"","44836837","183.0","Malignant neoplasm of ovary","4-dig billing code","Non-Standard","437","437","Condition","ICD9CM",""
"","44836836","173.79","Other specified malignant neoplasm of skin of lower limb, including hip","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836835","173.49","Other specified malignant neoplasm of scalp and skin of neck","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836834","172.5","Malignant melanoma of skin of trunk, except scrotum","4-dig billing code","Non-Standard","130","130","Condition","ICD9CM",""
"","44836833","171","Malignant neoplasm of connective and other soft tissue","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836832","165.8","Malignant neoplasm of other sites within the respiratory system and intrathoracic organs","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836831","164.9","Malignant neoplasm of mediastinum, part unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836830","164.2","Malignant neoplasm of anterior mediastinum","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836829","161.3","Malignant neoplasm of laryngeal cartilages","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836828","159.0","Malignant neoplasm of intestinal tract, part unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836827","156.9","Malignant neoplasm of biliary tract, part unspecified site","4-dig billing code","Non-Standard","9","9","Condition","ICD9CM",""
"","44836826","153.6","Malignant neoplasm of ascending colon","4-dig billing code","Non-Standard","10","10","Condition","ICD9CM",""
"","44836825","153.5","Malignant neoplasm of appendix vermiformis","4-dig billing code","Non-Standard","70","70","Condition","ICD9CM",""
"","44836824","151.6","Malignant neoplasm of greater curvature of stomach, unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836823","150.2","Malignant neoplasm of abdominal esophagus","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836822","149.0","Malignant neoplasm of pharynx, unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836821","148.2","Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836820","147.8","Malignant neoplasm of other specified sites of nasopharynx","4-dig billing code","Non-Standard","6","6","Condition","ICD9CM",""
"","44836819","143.8","Malignant neoplasm of other sites of gum","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836818","141.8","Malignant neoplasm of other sites of tongue","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836817","140.4","Malignant neoplasm of lower lip, inner aspect","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44836191","719.28","Villonodular synovitis, other specified sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835741","239.89","Neoplasms of unspecified nature, other specified sites","5-dig billing code","Non-Standard","17","17","Condition","ICD9CM",""
"","44835739","237.79","Other neurofibromatosis","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835738","236.90","Neoplasm of uncertain behavior of urinary organ, unspecified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835737","236.4","Neoplasm of uncertain behavior of testis","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835736","236.3","Neoplasm of uncertain behavior of other and unspecified female genital organs","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835735","233.31","Carcinoma in situ, vagina","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835734","232.0","Carcinoma in situ of skin of lip","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835733","227.6","Benign neoplasm of aortic body and other paraganglia","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835732","221","Benign neoplasm of other female genital organs","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835731","217","Benign neoplasm of breast","3-dig billing code","Non-Standard","96","96","Condition","ICD9CM",""
"","44835730","216.2","Benign neoplasm of ear and external auditory canal","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835729","214.3","Lipoma of intra-abdominal organs","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835728","214.0","Lipoma of skin and subcutaneous tissue of face","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835727","213.8","Benign neoplasm of short bones of lower limb","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835726","213.2","Benign neoplasm of vertebral column, excluding sacrum and coccyx","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835725","212.2","Benign neoplasm of trachea","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835724","211.1","Benign neoplasm of stomach","4-dig billing code","Non-Standard","114","114","Condition","ICD9CM",""
"","44835723","210.8","Benign neoplasm of hypopharynx","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835722","210.4","Benign neoplasm of other and unspecified parts of mouth","4-dig billing code","Non-Standard","17","17","Condition","ICD9CM",""
"","44835721","209.27","Malignant carcinoid tumor of hindgut, not otherwise specified","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835720","209.16","Malignant carcinoid tumor of the sigmoid colon","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835719","209.13","Malignant carcinoid tumor of the ascending colon","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835718","208.92","Unspecified leukemia, in relapse","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835717","208.22","Subacute leukemia of unspecified cell type, in relapse","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835716","208.11","Chronic leukemia of unspecified cell type, in remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835715","208.00","Acute leukemia of unspecified cell type, without mention of having achieved remission","5-dig billing code","Non-Standard","152","152","Condition","ICD9CM",""
"","44835714","207.20","Megakaryocytic leukemia, without mention of having achieved remission","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835713","205.9","Unspecified myeloid leukemia","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835711","202.96","Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intrapelvic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835710","202.87","Other malignant lymphomas, spleen","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835709","202.81","Other malignant lymphomas, lymph nodes of head, face, and neck","5-dig billing code","Non-Standard","213","213","Condition","ICD9CM",""
"","44835708","202.80","Other malignant lymphomas, unspecified site, extranodal and solid organ sites","5-dig billing code","Non-Standard","1,312","1,312","Condition","ICD9CM",""
"","44835707","202.71","Peripheral T cell lymphoma, lymph nodes of head, face, and neck","5-dig billing code","Non-Standard","84","84","Condition","ICD9CM",""
"","44835706","202.62","Malignant mast cell tumors, intrathoracic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835705","202.4","Leukemic reticuloendotheliosis","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835704","202.22","Sezary's disease, intrathoracic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835703","202.05","Nodular lymphoma, lymph nodes of inguinal region and lower limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835702","201.76","Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835701","201.56","Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835700","201.53","Hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835699","201.51","Hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835698","201.21","Hodgkin's sarcoma, lymph nodes of head, face, and neck","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835697","201.11","Hodgkin's granuloma, lymph nodes of head, face, and neck","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835696","201.10","Hodgkin's granuloma, unspecified site, extranodal and solid organ sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835695","200.75","Large cell lymphoma, lymph nodes of inguinal region and lower limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835694","200.55","Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835693","200.5","Primary central nervous system lymphoma","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835692","200.47","Mantle cell lymphoma, spleen","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835691","200.25","Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835690","200.1","Lymphosarcoma","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835689","200.08","Reticulosarcoma, lymph nodes of multiple sites","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835688","200.06","Reticulosarcoma, intrapelvic lymph nodes","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835687","200.05","Reticulosarcoma, lymph nodes of inguinal region and lower limb","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835686","198.81","Secondary malignant neoplasm of breast","5-dig billing code","Non-Standard","6","6","Condition","ICD9CM",""
"","44835685","198.1","Secondary malignant neoplasm of other urinary organs","4-dig billing code","Non-Standard","12","12","Condition","ICD9CM",""
"","44835684","197.6","Secondary malignant neoplasm of retroperitoneum and peritoneum","4-dig billing code","Non-Standard","73","73","Condition","ICD9CM",""
"","44835683","197.5","Secondary malignant neoplasm of large intestine and rectum","4-dig billing code","Non-Standard","10","10","Condition","ICD9CM",""
"","44835682","195.5","Malignant neoplasm of lower limb","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835681","190.8","Malignant neoplasm of other specified sites of eye","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835680","190.5","Malignant neoplasm of retina","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835679","190.1","Malignant neoplasm of orbit","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835678","188.6","Malignant neoplasm of ureteric orifice","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835677","187.2","Malignant neoplasm of glans penis","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835676","173.91","Basal cell carcinoma of skin, site unspecified","5-dig billing code","Non-Standard","114","114","Condition","ICD9CM",""
"","44835675","173.89","Other specified malignant neoplasm of other specified sites of skin","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835674","173.21","Basal cell carcinoma of skin of ear and external auditory canal","5-dig billing code","Non-Standard","8","8","Condition","ICD9CM",""
"","44835673","162.4","Malignant neoplasm of middle lobe, bronchus or lung","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835672","157.3","Malignant neoplasm of pancreatic duct","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835671","156","Malignant neoplasm of gallbladder and extrahepatic bile ducts","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835670","154","Malignant neoplasm of rectum, rectosigmoid junction, and anus","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835669","151.3","Malignant neoplasm of fundus of stomach","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835668","148.0","Malignant neoplasm of postcricoid region of hypopharynx","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835667","146.7","Malignant neoplasm of posterior wall of oropharynx","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835666","145.8","Malignant neoplasm of other specified parts of mouth","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835665","145.4","Malignant neoplasm of uvula","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835664","144.1","Malignant neoplasm of lateral portion of floor of mouth","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835663","143","Malignant neoplasm of gum","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835662","142.0","Malignant neoplasm of parotid gland","4-dig billing code","Non-Standard","63","63","Condition","ICD9CM",""
"","44835661","142","Malignant neoplasm of major salivary glands","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44835660","141.9","Malignant neoplasm of tongue, unspecified","4-dig billing code","Non-Standard","14","14","Condition","ICD9CM",""
"","44834957","702.0","Actinic keratosis","4-dig billing code","Non-Standard","873","873","Condition","ICD9CM",""
"","44834908","654.14","Tumors of body of uterus, postpartum condition or complication","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834774","516.5","Adult pulmonary Langerhans cell histiocytosis","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834543","239","Neoplasms of unspecified nature","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834542","238.7","Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834541","238.0","Neoplasm of uncertain behavior of bone and articular cartilage","4-dig billing code","Non-Standard","24","24","Condition","ICD9CM",""
"","44834540","237.6","Neoplasm of uncertain behavior of meninges","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834539","237","Neoplasm of uncertain behavior of endocrine glands and nervous system","3-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834538","236.5","Neoplasm of uncertain behavior of prostate","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834537","232.9","Carcinoma in situ of skin, site unspecified","4-dig billing code","Non-Standard","18","18","Condition","ICD9CM",""
"","44834536","232.7","Carcinoma in situ of skin of lower limb, including hip","4-dig billing code","Non-Standard","9","9","Condition","ICD9CM",""
"","44834535","231.1","Carcinoma in situ of trachea","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834534","230.7","Carcinoma in situ of other and unspecified parts of intestine","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834533","224.5","Benign neoplasm of retina","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM",""
"","44834532","224.3","Benign neoplasm of conjunctiva","4-dig billing code","Non-Standard","34","34","Condition","ICD9CM",""
